CMS Code,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
S5601-016-000,SilverScript Choice (PDP),2027,Key notes,Plan highlights: solid generic and brand coverage. 90-day supply = 3x retail cost sharing. LIS cost sharing - generic: $0 / $1.65 / $5.80; brand: $0 / $5 / $14.40.,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Max out-of-pocket,"$2,400",FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Number of tiers,5,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Pharmacy network,Large national pharmacy network consisting of chains and local pharmacies,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Premium,$143.50,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Rx deductible,$700 (Tiers 1-5),FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 1 (preferred generic) — Retail 30-day (standard),$0,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 1 (preferred generic) — Retail 90-day (standard),$0,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 2 (generic) — Retail 30-day (standard),$7,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 2 (generic) — Retail 90-day (standard),$21,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 3 (preferred brand) — Retail 30-day (standard),23%,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 4 (non-preferred) — Retail 30-day (standard),34%,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
S5601-016-000,SilverScript Choice (PDP),2027,Tier 5 (specialty) — Retail 30-day (standard),25%,FL,SilverScript First Look,2026-09-03,SilverScript Choice 2027 First Look. Preliminary - pending CMS approval.
